Address,aggregate_score
0x9AbA646174a127D13a707922F6A2D5667A9257c6,0
0xB6f3AD44D393Ac801Ed6ad6A6740F79353890645,36
0x96Cd565AAaB2e55Ffe4Bb9BF64CD234A96c7Ff45,4
0xD6c5a84d83aC8B5baE4E4a5bb442A0dC93e76cC4,0
0x4a4842DdA9FC1D27796502A1EC8f27F7827C5EA6,0
0x398a97A08C421D8748e15Fcf72F897b59d47Be22,0
0x946A91037fA639CE0383d6112827e913A5261f89,0
0x6e4fBdD9354A2060736F2d0b68A864dAdf6C3475,0
0x54EDDFd8836435FE61B255d2cB14815143cF0E77,0
0xa5C7A71a6bB4088156Ce980a2C709E9C50D5e9e0,72
0x436d149187729c28194178624b63ab8575f5FfD9,0
0x8922C8Ac42AE84cED3A4e8D54Ce7FCb3d52EbcB2,1
0xa2678d058C0fD3C0087c0A750B727a28460A8e05,1
0x4575Ab97AFA4a7b67395aAf3cb306784B0BEBe04,0
0xD478230AC12b747d9796222B8Ac9989ABEDf5B00,70
0xA7e9DBB781A18f67d115Ff8a7b5512A182ddd9a9,66
0xD478230AC12b747d9796222B8Ac9989ABEDf5B00,70
0x99d5Ce23335BffC8289F67Eb2723270776f2785e,6
0x99d5Ce23335BffC8289F67Eb2723270776f2785e,6
0xA7e9DBB781A18f67d115Ff8a7b5512A182ddd9a9,66
0xD478230AC12b747d9796222B8Ac9989ABEDf5B00,70
0x68E08371d1D0311b7c81961c431D71F71a94dd1a,98
0x4BA1C787B704Ccd43d86C7A43E5c8166d4BD213E,0
0xc467972a2Fa614c5f6990968D9d47b70DB169f5E,1
0x9dA4eafaf41dFAf2676C57605CC3870EB6b231C0,0
0x5645bF145C3f1E974D0D7FB91bf3c68592ab5012,2
0x87bDCec7eF6a11c5C8E81A7A6cFe4E03263D28C2,4
0x76FFA9E2590f395DCa376fd3eA110eeB05B8fc2B,0
0x9414E457a6452B65C98226dE97AfD8bcd7f7c6F8,0
0x2CA4ad605Ca875E2725356e53b43071c1e857cdC,95
0xF36E199675FfF7516BD538B782a29571423bFbf0,0
0xa3D2e683F81107CA6416ea6743e8331dd19CF8E5,0
0xBb32FFE36a3A3e17FdeAfF3af1BeAA76f486fa26,0
0x7f96a6269B00c56cdC319721be80bf8C290324a5,99
0x26bba14C659271834acceFDD5CFa4467e537705D,1
0xD012351129705fCD71c8932A0AEc6EbE5bAf611a,1
